query,name,site,type,subtypes,category,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,place_id,google_id,cid,reviews_id,located_google_id, telegram_username
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia",eGarage Auto Services Kuala Lumpur,https://www.egarage.com.my/,Chauffeur service,Chauffeur service,Chauffeur service,+60 3-6257 2519,"3 ½ Miles, Jalan Ipoh, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur",Jalan Ipoh,3 ½ Miles,Kuala Lumpur,51200,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.1898485,101.6803936,Asia/Kuala_Lumpur,,FALSE,4.3,36,"https://search.google.com/local/reviews?placeid=ChIJgUns9lRJzDERPwLMaeuRmIY&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 2, ""2"": 0, ""3"": 3, ""4"": 11, ""5"": 20}",2,0,3,11,20,22,https://lh5.googleusercontent.com/p/AF1QipNAATo9cpEMQtq4x1todCEwfSDMuOEQiYgNcjkl=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNAATo9cpEMQtq4x1todCEwfSDMuOEQiYgNcjkl=w1600-h1000-k-no,,"{""Monday"": ""8:30 am-5 pm"", ""Tuesday"": ""8:30 am-5 pm"", ""Wednesday"": ""8:30 am-5 pm"", ""Thursday"": ""8:30 am-5 pm"", ""Friday"": ""8:30 am-5 pm"", ""Saturday"": ""8:30 am-5 pm"", ""Sunday"": ""Closed""}",Monday: 8:30 am-5 pm | Tuesday: 8:30 am-5 pm | Wednesday: 8:30 am-5 pm | Thursday: 8:30 am-5 pm | Friday: 8:30 am-5 pm | Saturday: 8:30 am-5 pm | Sunday: Closed,,,OPERATIONAL,{},,,https://lh4.googleusercontent.com/-afmnvqRl2sw/AAAAAAAAAAI/AAAAAAAAAAA/kCMITRBLU_w/s44-p-k-no-ns-nd/photo.jpg,,TRUE,112343124093840292087,eGarage Auto Services Kuala Lumpur,https://www.google.com/maps/contrib/112343124093840292087,,,,,"https://www.google.com/maps/place/eGarage+Auto+Services+Kuala+Lumpur/@3.1898484999999996,101.6803936,14z/data=!4m8!1m2!2m1!1seGarage+Auto+Services+Kuala+Lumpur!3m4!1s0x31cc4954f6ec4981:0x869891eb69cc023f!8m2!3d3.1898484999999996!4d101.6803936",ChIJgUns9lRJzDERPwLMaeuRmIY,0x31cc4954f6ec4981:0x869891eb69cc023f,9698662237820682815,-8748081835888868801,,
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia","GoMechanic - Car Service Centre, Kuala Lumpur",https://gomechanic.app.link/malaysia,Auto repair shop,Auto repair shop,Auto repair shop,+60 3-9212 1789,"46, Jalan 2/148A Sungai Besi Industrial Park, Taman Sungai Besi, 57100 Kuala Lumpur, Federal Territory of Kuala Lumpur",Taman Sungai Besi,"46, Jalan 2/148A Sungai Besi Industrial Park",Kuala Lumpur,57100,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.0984116,101.696936,Asia/Kuala_Lumpur,,FALSE,4.7,24,"https://search.google.com/local/reviews?placeid=ChIJLRXVQQ5KzDER77NJbSPJXyc&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 1, ""2"": 1, ""3"": 0, ""4"": 0, ""5"": 22}",1,1,0,0,22,52,https://lh5.googleusercontent.com/p/AF1QipNuMMay7qE87Z6oxDylpR2F-1GGfXpTIxPfWDHU=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNuMMay7qE87Z6oxDylpR2F-1GGfXpTIxPfWDHU=w1600-h1000-k-no,,"{""Monday"": ""8 am-8 pm"", ""Tuesday"": ""8 am-8 pm"", ""Wednesday"": ""8 am-8 pm"", ""Thursday"": ""8 am-8 pm"", ""Friday"": ""8 am-8 pm"", ""Saturday"": ""8 am-8 pm"", ""Sunday"": ""8 am-8 pm""}",Monday: 8 am-8 pm | Tuesday: 8 am-8 pm | Wednesday: 8 am-8 pm | Thursday: 8 am-8 pm | Friday: 8 am-8 pm | Saturday: 8 am-8 pm | Sunday: 8 am-8 pm,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Offerings"": {""Oil change"": true}, ""Amenities"": {""Mechanic"": true, ""Toilets"": true}, ""Planning"": {""Appointment required"": true}}",,,https://lh6.googleusercontent.com/-Wr2LkBhCyV8/AAAAAAAAAAI/AAAAAAAAAAA/mGsKYt_FlH4/s44-p-k-no-ns-nd/photo.jpg,,TRUE,101987389916112078983,"GoMechanic - Car Service Centre, Kuala Lumpur",https://www.google.com/maps/contrib/101987389916112078983,,https://gomechanic.app.link/malaysia,,https://gomechanic.app.link/malaysia,"https://www.google.com/maps/place/GoMechanic+-+Car+Service+Centre%2C+Kuala+Lumpur/@3.0984116,101.696936,14z/data=!4m8!1m2!2m1!1sGoMechanic+-+Car+Service+Centre%2C+Kuala+Lumpur!3m4!1s0x31cc4a0e41d5152d:0x275fc9236d49b3ef!8m2!3d3.0984116!4d101.696936",ChIJLRXVQQ5KzDER77NJbSPJXyc,0x31cc4a0e41d5152d:0x275fc9236d49b3ef,2837207444261286895,2837207444261286895,,ksysoev
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia",GoMechanic - Car Repair & Service Centre,https://gomechanic.app.link/malaysia,Auto repair shop,"Auto repair shop, Car repair and maintenance service, Car wash, Mechanic, Skoda dealer, Toyota dealer",Auto repair shop,+60 3-9212 1789,"No. 18, Ground Floor, Jalan Bunga Melur 3, Taman Suria Jaya, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Taman Suria Jaya,"No. 18, Ground Floor, Jalan Bunga Melur 3",Kuala Lumpur,56000,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.0643394,101.7513896,Asia/Kuala_Lumpur,,FALSE,5,37,"https://search.google.com/local/reviews?placeid=ChIJjbhV5QI1zDERqSM9Lkx_bHQ&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 37}",0,0,0,0,37,29,https://lh5.googleusercontent.com/p/AF1QipPy3ZDplGlPm7Xa1CyCps_46Zm6z5Kw2E40oerf=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPy3ZDplGlPm7Xa1CyCps_46Zm6z5Kw2E40oerf=w1600-h1000-k-no,,"{""Monday"": ""8 am-8 pm"", ""Tuesday"": ""8 am-8 pm"", ""Wednesday"": ""8 am-8 pm"", ""Thursday"": ""8 am-8 pm"", ""Friday"": ""8 am-8 pm"", ""Saturday"": ""8 am-8 pm"", ""Sunday"": ""8 am-8 pm""}",Monday: 8 am-8 pm | Tuesday: 8 am-8 pm | Wednesday: 8 am-8 pm | Thursday: 8 am-8 pm | Friday: 8 am-8 pm | Saturday: 8 am-8 pm | Sunday: 8 am-8 pm,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Offerings"": {""Oil change"": true}, ""Amenities"": {""Mechanic"": true, ""Toilets"": true}, ""Planning"": {""Appointment required"": true}}",,,https://lh6.googleusercontent.com/-XN7WC1-qJGc/AAAAAAAAAAI/AAAAAAAAAAA/Cyeec8-ocAw/s44-p-k-no-ns-nd/photo.jpg,,TRUE,102173863570849763321,GoMechanic - Car Repair & Service Centre,https://www.google.com/maps/contrib/102173863570849763321,,https://gomechanic.app.link/malaysia,,https://gomechanic.app.link/malaysia,"https://www.google.com/maps/place/GoMechanic+-+Car+Repair+%26+Service+Centre/@3.0643393999999997,101.7513896,14z/data=!4m8!1m2!2m1!1sGoMechanic+-+Car+Repair+%26+Service+Centre!3m4!1s0x31cc3502e555b88d:0x746c7f4c2e3d23a9!8m2!3d3.0643393999999997!4d101.7513896",ChIJjbhV5QI1zDERqSM9Lkx_bHQ,0x31cc3502e555b88d:0x746c7f4c2e3d23a9,8389220171054392233,8389220171054392233,,mahrousamer
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia",Myketuk Auto Service,,Car repair and maintenance service,"Car repair and maintenance service, Auto body shop, Auto machine shop, Auto painting, Auto restoration service, Car wash",Car repair and maintenance service,+60 10-373 8299,"134C, jalan dua, off, Jalan Chan Sow Lin, 55200 Kuala Lumpur",Chan Sow Lin,"134C, jalan dua, off, Jalan Chan Sow Lin",Kuala Lumpur,55200,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.1231607,101.7124927,Asia/Kuala_Lumpur,,FALSE,4.2,71,"https://search.google.com/local/reviews?placeid=ChIJ_0n1rK03zDER_BcWLooAeIQ&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 11, ""2"": 1, ""3"": 3, ""4"": 5, ""5"": 51}",11,1,3,5,51,13,https://lh5.googleusercontent.com/p/AF1QipOqqd0hbIhB0nNXPc1E3P_L_2Hu7cqMIyrSDWwS=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOqqd0hbIhB0nNXPc1E3P_L_2Hu7cqMIyrSDWwS=w1600-h1000-k-no,,"{""Monday"": ""9 am-7 pm"", ""Tuesday"": ""9 am-7 pm"", ""Wednesday"": ""9 am-7 pm"", ""Thursday"": ""9 am-7 pm"", ""Friday"": ""9 am-7 pm"", ""Saturday"": ""9 am-7 pm"", ""Sunday"": ""Closed""}",Monday: 9 am-7 pm | Tuesday: 9 am-7 pm | Wednesday: 9 am-7 pm | Thursday: 9 am-7 pm | Friday: 9 am-7 pm | Saturday: 9 am-7 pm | Sunday: Closed,,,OPERATIONAL,"{""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",,,https://lh5.googleusercontent.com/-cIJ4OhW43QU/AAAAAAAAAAI/AAAAAAAAAAA/YWg-OvbE864/s44-p-k-no-ns-nd/photo.jpg,,TRUE,117789719113247576531,Myketuk Auto Service,https://www.google.com/maps/contrib/117789719113247576531,,,,,"https://www.google.com/maps/place/Myketuk+Auto+Service/@3.1231606999999997,101.7124927,14z/data=!4m8!1m2!2m1!1sMyketuk+Auto+Service!3m4!1s0x31cc37adacf549ff:0x8478008a2e1617fc!8m2!3d3.1231606999999997!4d101.7124927",ChIJ_0n1rK03zDER_BcWLooAeIQ,0x31cc37adacf549ff:0x8478008a2e1617fc,9545380003690452988,-8901364070019098628,,lol739384
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia",CRUISE POWER CAR SERVICES,https://www.facebook.com/cruisepower,Chauffeur service,"Chauffeur service, Auto Air-conditioning Service, Auto repair shop",Chauffeur service,+60 12-610 7616,"25, Jalan Perisa 2, Taman Bukit Indah, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Taman Bukit Indah,"25, Jalan Perisa 2",Kuala Lumpur,58200,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.0764334,101.6802261,Asia/Kuala_Lumpur,,FALSE,4.4,23,"https://search.google.com/local/reviews?placeid=ChIJgQnP7V5KzDERVQTcEUbFxNs&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 1, ""2"": 1, ""3"": 3, ""4"": 1, ""5"": 17}",1,1,3,1,17,12,https://lh5.googleusercontent.com/p/AF1QipMRfKcQ8EPF3moenloHHVOEWmF8QTDnEDz2lbEb=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMRfKcQ8EPF3moenloHHVOEWmF8QTDnEDz2lbEb=w1600-h1000-k-no,,"{""Monday"": ""10 am-7 pm"", ""Tuesday"": ""10 am-7 pm"", ""Wednesday"": ""10 am-7 pm"", ""Thursday"": ""10 am-7 pm"", ""Friday"": ""10 am-7 pm"", ""Saturday"": ""10 am-7 pm"", ""Sunday"": ""Closed""}",Monday: 10 am-7 pm | Tuesday: 10 am-7 pm | Wednesday: 10 am-7 pm | Thursday: 10 am-7 pm | Friday: 10 am-7 pm | Saturday: 10 am-7 pm | Sunday: Closed,,,OPERATIONAL,{},,,https://lh3.googleusercontent.com/-8LeqP1_40Cw/AAAAAAAAAAI/AAAAAAAAAAA/0SY1dPbPLqk/s44-p-k-no-ns-nd/photo.jpg,,TRUE,107587002506225927001,CRUISE POWER CAR SERVICES,https://www.google.com/maps/contrib/107587002506225927001,,,,,"https://www.google.com/maps/place/CRUISE+POWER+CAR+SERVICES/@3.0764334,101.6802261,14z/data=!4m8!1m2!2m1!1sCRUISE+POWER+CAR+SERVICES!3m4!1s0x31cc4a5eedcf0981:0xdbc4c54611dc0455!8m2!3d3.0764334!4d101.6802261",ChIJgQnP7V5KzDERVQTcEUbFxNs,0x31cc4a5eedcf0981:0xdbc4c54611dc0455,15835999094479520853,-2610744979230030763,,
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia",EURO SPEED CAR CARE SERVICE PLT,https://euro-speed-car-care-service-plt.business.site/?utm_source=gmb,Chauffeur service,"Chauffeur service, Auto Air-conditioning Service, Auto radiator repair service, Diesel engine repair service, Machine workshop",Chauffeur service,+60 16-732 6199,"34, Jalan 17/155c, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Bukit Jalil,"34, Jalan 17/155c",Kuala Lumpur,57000,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.0604062,101.6677826,Asia/Kuala_Lumpur,,FALSE,4.9,46,"https://search.google.com/local/reviews?placeid=ChIJOTlPUf1LzDER5mnXy07fF6g&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 5, ""5"": 41}",0,0,0,5,41,105,https://lh5.googleusercontent.com/p/AF1QipOeq1NvxdGg21qEGrzKHvAQpe8PHxqeBEGMLbG6=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOeq1NvxdGg21qEGrzKHvAQpe8PHxqeBEGMLbG6=w1600-h1000-k-no,,"{""Monday"": ""9 am-7 pm"", ""Tuesday"": ""9 am-7 pm"", ""Wednesday"": ""9 am-7 pm"", ""Thursday"": ""9 am-7 pm"", ""Friday"": ""9 am-7 pm"", ""Saturday"": ""9 am-7 pm"", ""Sunday"": ""Closed""}",Monday: 9 am-7 pm | Tuesday: 9 am-7 pm | Wednesday: 9 am-7 pm | Thursday: 9 am-7 pm | Friday: 9 am-7 pm | Saturday: 9 am-7 pm | Sunday: Closed,,,OPERATIONAL,{},,,https://lh4.googleusercontent.com/-viHZjNvH9Ss/AAAAAAAAAAI/AAAAAAAAAAA/uhNMTkTpfNo/s44-p-k-no-ns-nd/photo.jpg,,TRUE,118000061011923689038,EURO SPEED CAR CARE SERVICE PLT,https://www.google.com/maps/contrib/118000061011923689038,,,,,"https://www.google.com/maps/place/EURO+SPEED+CAR+CARE+SERVICE+PLT/@3.0604062,101.6677826,14z/data=!4m8!1m2!2m1!1sEURO+SPEED+CAR+CARE+SERVICE+PLT!3m4!1s0x31cc4bfd514f3939:0xa817df4ecbd769e6!8m2!3d3.0604062!4d101.6677826",ChIJOTlPUf1LzDER5mnXy07fF6g,0x31cc4bfd514f3939:0xa817df4ecbd769e6,12112395252356573670,-6334348821352977946,,
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia",KLL Auto Service,,Car repair and maintenance service,Car repair and maintenance service,Car repair and maintenance service,+60 3-6275 7773,"No. 32, Jalan Medan Putra 4, Medan Putra Business Centre, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Medan Putra Business Centre,"No. 32, Jalan Medan Putra 4",Kuala Lumpur,52200,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.1924585,101.6239365,Asia/Kuala_Lumpur,,FALSE,4.4,40,"https://search.google.com/local/reviews?placeid=ChIJiXH2ZAJGzDERzNxObq7mBiw&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 3, ""2"": 0, ""3"": 4, ""4"": 3, ""5"": 30}",3,0,4,3,30,11,https://lh5.googleusercontent.com/p/AF1QipMdsxNmGZqMqpq6oB0lg4HAkx7Vki_e6zTIVmQW=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMdsxNmGZqMqpq6oB0lg4HAkx7Vki_e6zTIVmQW=w1600-h1000-k-no,,"{""Monday"": ""9:30 am-8 pm"", ""Tuesday"": ""9:30 am-8 pm"", ""Wednesday"": ""9:30 am-8 pm"", ""Thursday"": ""9:30 am-8 pm"", ""Friday"": ""9:30 am-8 pm"", ""Saturday"": ""10 am-8 pm"", ""Sunday"": ""Closed""}",Monday: 9:30 am-8 pm | Tuesday: 9:30 am-8 pm | Wednesday: 9:30 am-8 pm | Thursday: 9:30 am-8 pm | Friday: 9:30 am-8 pm | Saturday: 10 am-8 pm | Sunday: Closed,,,OPERATIONAL,"{""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",,,https://lh4.googleusercontent.com/-OudZii9nSAY/AAAAAAAAAAI/AAAAAAAAAAA/y250lpU_j0c/s44-p-k-no-ns-nd/photo.jpg,,TRUE,115254100922023002079,KLL Auto Service,https://www.google.com/maps/contrib/115254100922023002079,,,,,"https://www.google.com/maps/place/KLL+Auto+Service/@3.1924585,101.6239365,14z/data=!4m8!1m2!2m1!1sKLL+Auto+Service!3m4!1s0x31cc460264f67189:0x2c06e6ae6e4edccc!8m2!3d3.1924585!4d101.6239365",ChIJiXH2ZAJGzDERzNxObq7mBiw,0x31cc460264f67189:0x2c06e6ae6e4edccc,3172476624378453196,3172476624378453196,,
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia",GoMechanic - Car Repair & Service Station,https://gomechanic.app.link/malaysia,Auto repair shop,"Auto repair shop, Audi dealer, BMW dealer, Car repair and maintenance service, Car wash, Honda dealer, Mechanic, Skoda dealer, Toyota dealer, Volkswagen dealer",Auto repair shop,+60 3-9212 1789,"Jalan 2/108d, Taman Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Taman Sungai Besi,Jalan 2/108d,Kuala Lumpur,57100,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.0904446,101.6986233,Asia/Kuala_Lumpur,,FALSE,4.5,24,"https://search.google.com/local/reviews?placeid=ChIJuceCBXNKzDERxu5H2EFUD-g&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 3, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 21}",3,0,0,0,21,247,https://lh5.googleusercontent.com/p/AF1QipNJ_42BriEl_Oqt4FedwLLB15XOPi6Jx40HmZfO=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNJ_42BriEl_Oqt4FedwLLB15XOPi6Jx40HmZfO=w1600-h1000-k-no,,"{""Monday"": ""8 am-8 pm"", ""Tuesday"": ""8 am-8 pm"", ""Wednesday"": ""8 am-8 pm"", ""Thursday"": ""8 am-8 pm"", ""Friday"": ""8 am-8 pm"", ""Saturday"": ""8 am-8 pm"", ""Sunday"": ""8 am-8 pm""}",Monday: 8 am-8 pm | Tuesday: 8 am-8 pm | Wednesday: 8 am-8 pm | Thursday: 8 am-8 pm | Friday: 8 am-8 pm | Saturday: 8 am-8 pm | Sunday: 8 am-8 pm,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Offerings"": {""Oil change"": true}, ""Amenities"": {""Mechanic"": true}, ""Planning"": {""Appointment required"": true}}",,,https://lh4.googleusercontent.com/-ZtcyLqVBkcI/AAAAAAAAAAI/AAAAAAAAAAA/VIfNMImQAxs/s44-p-k-no-ns-nd/photo.jpg,,TRUE,100295285801528686560,GoMechanic - Car Repair & Service Station,https://www.google.com/maps/contrib/100295285801528686560,,https://gomechanic.app.link/malaysia,,https://gomechanic.app.link/malaysia,"https://www.google.com/maps/place/GoMechanic+-+Car+Repair+%26+Service+Station/@3.0904445999999997,101.6986233,14z/data=!4m8!1m2!2m1!1sGoMechanic+-+Car+Repair+%26+Service+Station!3m4!1s0x31cc4a730582c7b9:0xe80f5441d847eec6!8m2!3d3.0904445999999997!4d101.6986233",ChIJuceCBXNKzDERxu5H2EFUD-g,0x31cc4a730582c7b9:0xe80f5441d847eec6,16721676583228141254,-1725067490481410362,,
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia",Leo Auto Services Sdn Bhd,,Mechanic,Mechanic,Mechanic,+60 3-7980 3453,"201, Old Klang Rd, 4 Mile Square, 58000 Kuala Lumpur, Federal Territory of Kuala Lumpur",4 Mile Square,"201, Old Klang Rd",Kuala Lumpur,58000,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.0990142,101.6754837,Asia/Kuala_Lumpur,,FALSE,4.3,47,"https://search.google.com/local/reviews?placeid=ChIJfbvzmSRKzDERtE3hg0a5mfI&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 4, ""2"": 0, ""3"": 2, ""4"": 14, ""5"": 27}",4,0,2,14,27,5,https://lh5.googleusercontent.com/p/AF1QipMlkBqrbFjBeJ8jMVfhWZPLTPzIQ3AatgZ_Mv0b=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMlkBqrbFjBeJ8jMVfhWZPLTPzIQ3AatgZ_Mv0b=w1600-h1000-k-no,,"{""Monday"": ""8:30 am-5:30 pm"", ""Tuesday"": ""8:30 am-5:30 pm"", ""Wednesday"": ""8:30 am-5:30 pm"", ""Thursday"": ""8:30 am-5:30 pm"", ""Friday"": ""8:30 am-5:30 pm"", ""Saturday"": ""8:30 am-5 pm"", ""Sunday"": ""Closed""}",Monday: 8:30 am-5:30 pm | Tuesday: 8:30 am-5:30 pm | Wednesday: 8:30 am-5:30 pm | Thursday: 8:30 am-5:30 pm | Friday: 8:30 am-5:30 pm | Saturday: 8:30 am-5 pm | Sunday: Closed,,,OPERATIONAL,"{""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",,,,,FALSE,None,Leo Auto Services Sdn Bhd,,,,,,"https://www.google.com/maps/place/Leo+Auto+Services+Sdn+Bhd/@3.0990142,101.6754837,14z/data=!4m8!1m2!2m1!1sLeo+Auto+Services+Sdn+Bhd!3m4!1s0x31cc4a2499f3bb7d:0xf299b94683e14db4!8m2!3d3.0990142!4d101.6754837",ChIJfbvzmSRKzDERtE3hg0a5mfI,0x31cc4a2499f3bb7d:0xf299b94683e14db4,17481207141126720948,-965536932582830668,,
"car service, Kuala Lumpur, Kuala Lumpur, Malaysia",Ykl Automotive,,Car repair and maintenance service,"Car repair and maintenance service, Repair service",Repair service,+60 12-211 2530,"19, Jalan 6/89B 3 1/2 Mile, Off, Jalan Chan Sow Lin, 57100 Kuala Lumpur",Salak South,"19, Jalan 6/89B 3 1/2 Mile, Off, Jalan Chan Sow Lin",Kuala Lumpur,57100,Federal Territory of Kuala Lumpur,,Malaysia,MY,3.1123632,101.7109699,Asia/Kuala_Lumpur,,FALSE,4.9,54,"https://search.google.com/local/reviews?placeid=ChIJG-2XqQhKzDEReuSmMD5JA3g&q=car+service,+Kuala+Lumpur,+Kuala+Lumpur,+Malaysia&authuser=0&hl=en&gl=MY",,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 52}",1,0,0,1,52,20,https://lh5.googleusercontent.com/p/AF1QipOLsltx3-txmb_8m0GC0vWndoz_bLzUtWmKBsdM=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOLsltx3-txmb_8m0GC0vWndoz_bLzUtWmKBsdM=w1600-h1000-k-no,,"{""Monday"": ""9 am-6 pm"", ""Tuesday"": ""9 am-6 pm"", ""Wednesday"": ""9 am-6 pm"", ""Thursday"": ""9 am-6 pm"", ""Friday"": ""9 am-6 pm"", ""Saturday"": ""9 am-2 pm"", ""Sunday"": ""Closed""}",Monday: 9 am-6 pm | Tuesday: 9 am-6 pm | Wednesday: 9 am-6 pm | Thursday: 9 am-6 pm | Friday: 9 am-6 pm | Saturday: 9 am-2 pm | Sunday: Closed,,,OPERATIONAL,{},,,https://lh5.googleusercontent.com/-1lIHNVvG43s/AAAAAAAAAAI/AAAAAAAAAAA/0WN68bPtL0A/s44-p-k-no-ns-nd/photo.jpg,,TRUE,107023235821875503537,Ykl Automotive,https://www.google.com/maps/contrib/107023235821875503537,,,,,"https://www.google.com/maps/place/Ykl+Automotive/@3.1123632,101.7109699,14z/data=!4m8!1m2!2m1!1sYkl+Automotive!3m4!1s0x31cc4a08a997ed1b:0x7803493e30a6e47a!8m2!3d3.1123632!4d101.7109699",ChIJG-2XqQhKzDEReuSmMD5JA3g,0x31cc4a08a997ed1b:0x7803493e30a6e47a,8647836240934528122,8647836240934528122,,
